Josanghyeog,조상혁,"",facebook.com/liebekorea
Geunewaggoc,그네와꽃,@swingnflower,facebook.com/https://www.swingnflower
Keuraenpildeu,크랜필드,@bandcranfield,facebook.com/bandcranfield
AsianChairshot,아시안체어샷,@AsianChairshot,facebook.com/bandchairshot
RoseMotel,장미여관,@RoseMotel,facebook.com/rosemotel
DICKPUNKS,딕펑스,@Band_DICKPUNKS,""
Rock&RollRadio,로큰롤라디오,@rnrrpage,facebook.com/rnrrpage
24Hours,24Hours,@Band_24hours,facebook.com/b24Hrs 
Activity,엑티비티,"",facebook.com/BandActivity
Swingz,스윙즈,@bandswingz,facebook.com/swingzdrum
SpacePaPa,스페이스파파,@bandspacepapa,facebook.com/spacepapa
FourBrothers,포브라더스,@band4brothers,facebook.com/Band4brothers
TheVeggers,더베거스,@theveggers,""
MintGray,민트그레이,@bandmintgray,facebook.com/mintgray
WastedJohnny's,웨이스티드쟈니스,"",facebook.com/WastedJohnnys
Wedance,위댄스,"",""
TheRoosters,더루스터스,@wowrooster,facebook.com/TheRoostersDeoLuseuteoseu
BurningMonkeys,버닝몽키즈,@burning_monkeys,facebook.com/burningmonkeys
Broccoliyoutoo,브로콜리너마저,@broods,facebook.com/broods
LoveXStereo,러브엑스테레오,@lovexstereo,facebook.com/lovexstereo
10cm,10cm,@10centimeter,""
ShinHyeonHuiandKimRoot,신현희와김루트,@seenroot,facebook.com/seenroot
Phonebooth,폰부스,@bandphonebooth,facebook.com/phonebooththeband
RomanticPunch,로맨틱펀치,@Romantic_Punch,""
T-sound,티사운드,@bandtsound,facebook.com/bandtsound
GalaxyExpress,갤럭시익스프레스,@GalaxyExpressKR,facebook.com/GalaxyExpressKR
9th,아홉번째,@bandnumber9,facebook.com/numberninekorea
Hlin,홀린,@BandHLIN,facebook.com/pages/HLin%ED%99%80%EB%A6%B0/226112907443093
BandECE,밴드이씨이,"",facebook.com/emergencycallequipment
William'sTown,윌리암스타운,@William_s_town,facebook.com/willitown
Gogoboiseu,고고보이스,"",""
Achtung,악퉁,"",facebook.com/pages/%EC%95%85%ED%89%81-Achtung/127533683923689
GutenBirds,구텐버즈,@910birds,facebook.com/gutenbirds
Harrybigbutton,해리빅버튼,@harrybigbutton,facebook.com/harrybigbutton
YamagataTweakster,야마가타트윅스터,"",""
Design,디자인,@bandmandesign,facebook.com/bandds
YOZOH,요조,"",""
Chanhuissi,그냥찬휘씨,"",facebook.com/unclechanhwi 
Reflex,리플렉스,@bandreflex,facebook.com/bandreflex
Sountruck,Sountruck,@SounTruck,facebook.com/SounTruck
GreenFlameBoys,초록불꽃소년단,@GreenFlameBoys,facebook.com/GreenFlameBoys
WhoWho,밴드후후,@whowho330,facebook.com/whowho330
Toxic,톡식,@bandtoxic,""
MissingLucille,미씽루씰,@missinglucille2,facebook.com/missinglucille
11:11,11시11분,@Band1111,facebook.com/band1111
No.1KOREAN,넘버원코리안,@Number1Korean,""
Beatniks,비트닉스,@Beatniks4,facebook.com/beatniks4
Nogal,노갈,"",facebook.com/nogal100live
JRabbit,제이레빗,"",""
Seoulbeulrujeu,서울블루즈,"",facebook.com/https://www.seoulbluez
Elekstic,일렉스틱,"",""
Swindlers,스윈들러즈,"",facebook.com/steelfacerecords
BurningHepburn,버닝헵번,"",""
