Jebidabang,Seoul Mapo-gu Sangsu-dong 330-12,Seoul
RuailRock,None,Seoul
Soundholicity,Seoul Mapo-gu Seogyo-dong 344-6,Seoul
Space Moon,Seoul Yeongdeungpo-gu Mullaedong3-ga 54-41,Seoul
Club TA,Seoul Mapo-gu Seogyo-dong 407-6,Seoul
Cafe Unplugged,Seoul Mapo-gu Seogyo-dong 358-65,Seoul
Club DRUG/DGBD,Seoul Mapo-gu Seogyo-dong 395-17,Seoul
Club FF,Seoul Mapo-gu Seogyo-dong 407-8,Seoul
Freebird,Seoul Mapo-gu Seogyo-dong 364-22,Seoul
Nest NADA,Seoul Mapo-gu Seogyo-dong 336-5[Wausanno29-gil 15],Seoul
Live&Loud,None,Seoul
Busan KBS Hall,None,Busan
Sangsang Madang,Mapo-gu Seogyo-dong 367-5,None
SPOT,Seoul Mapo-gu Seogyo-dong 358-34,Seoul
I have a dream,None,Seoul
Evans Lounge,Seoul Mapo-gu Seogyo-dong 401-3[Dongmangno9-gil 9] Seongwon Building (1Cheung Pillamenteu) Jiha1cheung Ebanseuraunji,Seoul
AUTEUR,Seoul Mapo-gu Seogyo-dong 367-36,Seoul
Olympic Park,None,Seoul
Ulsan KBS Hall,None,Seoul
Jaemi Gongjakso,Seoul Mapo-gu Changjeon-dong 390-3,Seoul
Jeju ArtCenter,Jeju-do Onam-ro 231,Seoul
CJ AZIT,Seoul Mapo-gu Sinjeong-dong 145-9,Seoul
V-HALL,Seoul Mapo-gu Seogyo-dong 356-1,Seoul
GOGOS2,Seoul Mapo-gu Seogyo-dong 407-2,Seoul
Didim hall,None,Seoul
Didim Hall,Seoul Mapo-gu Seogyo-dong 360-12[Wausanno18-gil 34],Seoul
Rolling Hall,Seoul Mapo-gu Seogyo-dong 402-22[Eoulmadang-ro 35],Seoul
Byuldabang mistar,None,Seoul
Salon Badabie,Seoul Mapo-gu Donggyo-dong 182-5,Seoul
Seven Factory,None,Seoul
Strange Fruit,Seoul Mapo-gu Seogyo-dong 330-14,Seoul
Steel Face Roof Top 3639,None,Seoul
EcoBridge Coffee,Seoul Mapo-gu Seogyo-dong 476-25,Seoul
Yeongdeungpo Arthall,Seoul Yeongdeungpo-gu Dangsandong3-ga 3-0[Gukhoe-daero 596],Seoul
YES24 MUV HALL,None,Seoul
YOGIGA Expression Gallery,Seoul Mapo-gu Hapjeong-dong 412-1,Seoul
Cafe 7,None,Seoul
Coffee factory,None,Seoul
Crazyhorse,None,Seoul
PRISM Hall,Seoul Mapo-gu Seogyo-dong 395-152,Seoul
HOUSE BURNINGHEART,None,Seoul
HAKCHON,None,Seoul
Haeundae ArtHall,Busan Haeun Daegu Jwa-dong 1458-1,Busan
Backpacker's Home,Jeju-do Seogwipo Seogwi-dong 315-2,Seoul
1971Bar,None,Seoul
1974PLY,None,Seoul
1984,None,Seoul
2013 GOYANG ROCK FESTIVAL,None,Seoul
Gangnam Subway Station,None,Seoul
5POINTZ ART SPACE,Seoul Gangnam-gu Sinsa 551-7,Seoul
AA Design Museum,None,Seoul
ALL OF ROCK,Mapo-gu Seogyo-dong 325-26,None
Almost Famous,Busan Daeyeon3-dong 55-2,Busan
Artspace behive,Seoul Gangnam-gu Cheongdam-dong 78-5,Seoul
Bar Exit,Seoul Mapo-gu Seogyo-dong 362-15,Seoul
Bar sha,Seoul Mapo-gu Sangsu-dong 93-86,Seoul
Bar001,Seoul Mapo-gu Hapjeong-dong 412-1,Seoul
Burgermine,Seoul Yongsan-gu Yongsandong2-ga 45-9,Seoul
C cloud,Seoul Mapo-gu Hapjeong-dong 412-26,Seoul
CAFE COMMON,Seoul Mapo-gu Seogyo-dong 400-16,Seoul
Cafe Dorothy,Seoul Seocho-gu Seocho4-dong 1303-31,Seoul
Camarata,"",Seoul
Club Broken Teeth,Seoul Mapo-gu Mangwon-dong 378-15,Seoul
Club Mansion,Seoul Mapo-gu Seogyo-dong 368-22,Seoul
Collage+,Seoul Gangnam-gu Cheongdam-dong 91-5,Seoul
Creative i bar,Seoul Mapo-gu Seogyo-dong 342-2,Seoul
CTS Arthall,Seoul Dongjak-gu Noryangjin2-dong 27-2,Seoul
Cube Sugar,Seoul Mapo-gu Seogyo-dong 369-36,Seoul
CY Theater,Seoul Mapo-gu Donggyo-dong 158-2,Seoul
Deeleebob Music,Seoul Yongsan-gu Yongsandong2-ga 37-4,Seoul
EBS Space,Seoul Gangnam-gu Dogok-dong 463,Seoul
FABRIC,Busan Nam-gu Daeyeon-dong 60-13,Busan
FB Soul House,Mapo-gu Donggyo-dong 186-15,None
Busan Gas,Busan Geumjeong-gu Jangjeon-dong 420-47,Busan
Groove City Coffee,Seoul Songpa-gu Pungnap1-dong 153-22,Seoul
Jess,Seoul Mapo-gu Seogyo-dong 364-26,Seoul
JNOVA,Seoul Seodaemun-gu Changcheon-dong 92-6,Seoul
LGateusenteo,Seoul Gangnam-gu Yeoksam-dong 679-0[Nonhyeon-ro 508],Seoul
LIG ArtHall Yeoksam,Seoul Gangnam-gu Yeoksam-dong 649-11,Seoul
LIG Arthall Hapjeong,None,Seoul
LIGarthall,None,Seoul
MAMO Project Space,None,Seoul
MOONNIGHT,Seoul Yongsan-gu Itaewon-dong 132-3,Seoul
New Phillies,Seoul Yongsan-gu Yongsandong2-ga 44-7[Sinheung-ro 35],Seoul
Office coffee,Seoul Mapo-gu Changjeon-dong 390-30,Seoul
Orange Tree Indigo,Seoul Yongsan-gu Yongsandong2-ga 45-10,Seoul
Pinoy Mart,Seoul Yongsan-gu Yongsandong2-ga 45-3,Seoul
Rocky Mountain Tavern,Seoul Yongsan-gu Itaewon-ro 212,Seoul
SK Olympic Handball Gymnasium,None,Seoul
SuperDry Store,Seoul Seocho-gu Banpo-dong 748-6[Gangnam-daero 477],Seoul
Tbs eFM,None,Seoul
The Local,Seoul Yongsan-gu Yongsandong2-ga 38-10,Seoul
Under99,Gwangju Dong-gu Gung-dong 51-5,Seoul
V.F.W. Canteen,Seoul Yongsan-gu Yongsandong2-ga 44-18,Seoul
ZOO,Seoul Mapo-gu Seogyo-dong 354-2,Seoul
Club Keu Keu,Seoul Gangnam-gu Seolleung-ro 805-0[Sinsa-dong 666-8],Seoul
Gggg,None,Seoul
Sonyon,Seoul Mapo-gu Sangsu-dong 341-5,Seoul
Gaeden5 Rooftop,Seoul Songpa-gu Munjeong-dong 280,Seoul
Gasan Station,Seoul Geumcheon-gu Gasandijiteol1-ro 168,Seoul
Gamseong Dalbit,Seoul Seongbuk-gu Inchonno7ra-gil 39,Seoul
"Hub Plaza, Gangnam Stn.",None,Seoul
Gangdong ArtCenter,Seoul Gangdong-gu Sangil-dong 477,Seoul
Gangreung ArtHall,"",None
Gangbuk Distric Office,None,Seoul
Gangchon Propose Square,None,Seoul
Miiiiil,None,Seoul
Konkuk Univ. Hall,Seoul Gwangjin-gu Hwayang-dong 1-0[Neungdong-ro 120],Seoul
GYEONGGI CREATION CENTER,None,Seoul
Kyungpook National University Auditorium,None,Seoul
Gyeongsan Chonma ArtCenter,"",None
Gyeongju Metalboys,Gyeongbuk Gyeongju Seonggeon-dong 584-29,Seoul
Kaywon School of Art & Design,None,Seoul
Goyang Aramart,None,Seoul
GongGongIl,Seoul Mapo-gu Hapjeong-dong 412-8,Seoul
001bar,None,Seoul
Kuchu-camp,Seoul Mapo-gu Seogyo-dong 325-9,Seoul
Gwacheon ArtHall Outside,Gyeonggi-do Gwacheon Jungang-dong 6-2,None
Grangju NEVERMIND,"",None
Gwangju Kunsthalle,Gwangju Dong-gu Gwangsan-dong 13-4,None
Gwangju MBC Hall,"",None
Gwangju SL,"",None
Gwangjingyo 8th St.,Seoul Gangdong-gu Cheonho2-dong 527-2,Seoul
Gwanghwamun Plaza,Seoul Jongno-gu Se Jongno,Seoul
Guro Art Valley,Seoul Guro-gu Guro-dong 101-0[Gamasanno25-gil 9-24],Seoul
Pas day,None,Seoul
Gray Box,None,Seoul
Gurida,None,Busan
Green Cloud,Seoul Mapo-gu Changjeon-dong 6-4,Seoul
Incheon Glastonbury,Incheon Jung-gu Sinsaeng-dong 2-6,Incheon
Geumchon ArtCamp,Seoul Geumcheon-gu Siheung-daero 301,Seoul
GEEK,Seoul Mapo-gu Donggyo-dong 185-10,Seoul
KIMDAEJUNG CONVENTION CENTER,None,Seoul
Ggaebangjeong,Seoul Mapo-gu Sinchon-ro 12Na-gil 30,Seoul
CCOTT DDANG BAR,Seoul Yongsan-gu Hannam-dong 683-31,Seoul
DreamForest ArtCenter,Seoul Gangbuk-gu Beon-dong San28-6,Seoul
Nines Avenue,Seoul Guro-gu Guro-dong 501-0[Gurojungang-ro 134],Seoul
NINEHALL,None,Seoul
Nando Studio,"",None
HANGANG PARK,None,Seoul
Chungnyunmall,None,Seoul
Nami Island,Gangwon Chuncheon Namsan-myeon Bangha-ri 198-0,None
Naeyeope The Stage,Seoul Jongno-gu Dongsung-dong 1-58,Seoul
Nevermind,Gwangju Dong-gu Jang-dong 17-1,None
NoPD CoffeeShop,"",None
Noritor place,None,Seoul
Nowon Munhwa Street,Seoul Nowon-gu Sanggye1-dong,Seoul
NORI Bar,None,Seoul
Dari Salon,Seoul Mapo-gu Donggyo-dong 158-2,Seoul
Multi Culti Theater Saladboom,None,Seoul
Dali,None,Seoul
Dal.komm Coffee,None,Seoul
Danginri Theater,"",None
Dotdlim,None,Seoul
Daegu URBAN,Daegu Jung-gu Samdeok-dong 1-ga 18-1 Beonji,None
NOVOTEL DAEGU,None,Seoul
Daegu LiveIndie,Daegu Jung-gu Samdeok-dong 15-6,Seoul
Daegu Suseong Artpia,Daegu Suseong-gu Jisan-dong 1137-3,Seoul
Daegu HORUS,Daegu Jung-gu Samdeok-dong 1-ga 21-23,Seoul
Daegu Indiya,None,Daegu
Daegubogeondae indangateuhol,Daegu Buk-gu Taejeon-dong San 7-1,None
Daegu Childrens Hall,Daegu Suseong-gu Hwanggeum-dong 626-2,Seoul
Daegu Heavy,Daegu Nam-gu Daemyeong-dong 1896-5,Daegu
Daelim Art Gallery,Seoul Jongno-gu Jahamunno4-gil 21-0[Tongui-dong 35-1],Seoul
Daelim ChangGo,Seoul Seongdong-gu Seongsu2-ga 322-32,Seoul
The Godfather theme park Sea fragrance,None,Seoul
Daejeon Bar Jung-gu Office,Daejeon Jung-gu Daeheung-dong 225-5,Seoul
Daejeon Koo Chungnam Office,None,Daejeon
Daejeon Cantina,Daejeon Seo-gu Dunsan-dong 1098-0[Daedeokdaero185beon-gil 63],Seoul
Daejeon GreenBeanBudgie,Daejeon Jung-gu Daeheung-dong 452-65Beonji,None
Daejeon YellowTaxi,None,Daejeon
Daejeon InSky2,Daejeon Jung-gu Eunhaeng-dong 66-9,None
"Street stage, KFC, University-Avenue",None,Seoul
The Factory Bar,Seoul Mapo-gu Seogyo-dong 402-13,Seoul
Deoksugung Daehanmun,Seoul Jung-gu Taepyeongno2-ga 365-1,Seoul
Dotori Dream,Hapcheon-gun Chogye-myeon Chogye-ri 18-6,Seoul
Dokkakki,Seoul Yongsan-gu Hangangno3-ga 16-9,Seoul
Dongdaemun Megabox,Seoul Jung-gu Euljiro6-ga 21-0,Seoul
Daegu Dongsongro Guitar Inst.,Daegu Jung-gu Dongseongno3-ga 7-3Beonji,Seoul
Doulostheater,None,Seoul
THE M Kitchen & Lounge,None,Seoul
Cafe DD.DA,Seoul Mapo-gu Sangsu-dong 310-14,Seoul
DNG HALL,None,Seoul
DNG HALL,None,Seoul
DCube City,"",None
Ddalgi Dabang,Seoul Mapo-gu Seogyo-dong 335-5,Seoul
Radio star,None,Seoul
Radio GaGa,Seoul Mapo-gu Donggyo-dong 198-27,Seoul
La bueno,None,Seoul
LA BUENO,None,Seoul
Rock&Rock,None,Seoul
Rock 'N' Roll,None,Seoul
Rock Camp,Incheon Bupyeong-gu Galsan-dong 381-3,Incheon
Rainbow,None,Seoul
Cafe Record Heart,None,Seoul
LOWRISE,Seoul Yeongdeungpo-gu Mullaedong3-ga 58-77,Seoul
Rollercoaster,Seoul Mapo-gu Seogyo-dong 446-60,Seoul
LotteHotelWorld CrystalBallroom,None,Seoul
Lydian,Seoul Mapo-gu Changjeon-dong 5-73,Seoul
Mario Outlet 3rd Bldg,Seoul Geumcheon-gu Gasan-dong 60-52Ho,Seoul
Mapo ArtCenter,Seoul Mapo-gu Daeheung-dong 30-3,Seoul
Magpie Brewing,None,Seoul
Mesenapolis Plaza,Seoul Mapo-gu Hapjeong-dong 416-33,Seoul
Mate musie,None,Daejeon
MyeongWeolGwan,Seoul Mapo-gu Seogyo-dong 362-12,Seoul
Momo Stage,Seoul Jung-gu Euljiro2-ga 181-0[Eulji-ro 66],Seoul
Mongmareuddeugongweon,Seoul Seocho-gu Banpo 4-dong,Seoul
MONKEY BUSINESS,None,Seoul
Mudaeruk,Seoul Mapo-gu Hapjeong-dong 357-7,Seoul
Jungdabang Mullae,None,Seoul
Munrae Bittarae,Mullae-dong 3-ga 54-16,None
MULLAE ART SPACE,None,Seoul
Munji Sai,"",None
Munteokupneun Bobjip,Seoul Mapo-gu Seogyo-dong 481-2,Seoul
Seoul Station 284,"",None
MusicTree,Daegu Buk-gu Sangyeok-dong 1331-8,Seoul
Miliore Square,Seoul Jung-gu Euljiro6-ga 18-185,Seoul
BARINSTAR,None,Seoul
Banwol Arthall,Gyeonggi-do Pocheon Gunnae-myeon Haseongbuk-ri 610,None
KNOU OUN TV Hall,Seoul Jongno-gu Daehak-ro 86,Seoul
Baekam Art hall,None,Seoul
Bezzang-e Hall,None,Seoul
Cafe Ben James,Seoul Mapo-gu Hapjeong-dong 411-5,Seoul
VELOSO,Seoul Mapo-gu Seogyo-dong 358-121,Seoul
ByulNaMu LiveHall,None,Seoul
BONOBONO,None,Seoul
EMU,None,Seoul
Bugyeong Univ. Gym,Busan Nam-gu Daeyeon3-dong 599-1,Busan
Busan OL 55,Busan Nam-gu Daeyeon-dong 60-4,Busan
Busan gwanganri haebyeon,"",Seoul
Busan Danurimhall,Busan Sasang-gu Gaya-daero 196Beon-gil 51,Busan
Busan baineoleondeogeuraundeu,Busan Nam-gu Daeyeon-dong 58-2[Suyeongno322beon-gil 32],Busan
Busan SasangIndieStation,None,Busan
Space Roots,"",Seoul
Citizenhall.busan,None,Busan
Busan Upstair,Busan Geumjeong-gu Jangjeon-dong 425-13,Busan
Busan Yeongdo Bridge,None,Busan
Busan Dureraum,Busan Haeun Daegu U-dong 1467,Busan
Busan OzHall,Busan Busanjin-gu Bujeon-dong 467-1,Busan
Almost famous,None,Busan
Interplay,None,Busan
Busan CoffeeSanchek,Busan Jung-gu Jungangdong4-ga 31-8[Jungangdaero81beon-gil 3-1],Busan
Busan HyundaiCard FinanceShop,None,Busan
BusanMBC LotteArthall,"",None
Dazzle,Busan Geumjeong-gu Jangjeon3-dong 416-45,Busan
Busandaehaggyo,Busan Geumjeong-gu Busandaehangno63beon-gil 2-0[Jangjeon-dong 40],Busan
Busan Lotte Dept.Store,Busan Jung-gu Jungangdong7-ga 20-1,Busan
Busan Realize,Busan Nam-gu Daeyeon-dong 54-29[Yongsoro7beon-gil 37],Busan
Busan Moomonk,Busan Geumjeong-gu Jangjeon-dong 416-1,Busan
Busan Culture Hall,Busan Nam-gu Daeyeon-dong 848-4,Busan
Basement,Busan Geumjeong-gu Jangjeon3-dong 418-11,Busan
Busan Soultrain,Busan Geumjeong-gu Jangjeon3-dong 389-51Beonji,Busan
Busan Arthall,Busan Nam-gu Daeyeon-dong 603-7,Busan
Busanonceonceon,Busan Geumjeong-gu Jangjeon3-dong 643-90,Busan
Busan Interplay,Busan Geumjeong-gu Jangjeon3-dong 417-3,Busan
Busan Jeonramhoe Gurim,Busan Geumjeong-gu Jangjeon3-dong 418-1,Busan
Cafe Haecceity,Busan Geumjeong-gu Jangjeon1-dong 389-20Beonji,Busan
Busan Cosmic Collabo,Bujeon2-dong 254-17,None
Crossroad,Busan Geumjeong-gu Jangjeon3-dong 389-51,Busan
BuPyeong G7,"",None
Bupyeong Art Center,"",None
BooksLibro Hongdae,Seoul Mapo-gu Donggyo-dong 166-15,Seoul
Bukchon Arthall,Seoul Jongno-gu Wonseo-dong 157-1,Seoul
Blossomland,None,Seoul
Bluelight,"",None
Blue Bird,Seoul Seodaemun-gu Yeonhui-dong 137-2,Seoul
Blueberry Cafe,Seoul Yongsan-gu Cheongparo47-gil 100,Seoul
Blue Square,"",None
Bittersweetsound,None,Seoul
Bistro6942,None,Seoul
Vihaengsool,None,Seoul
BIGSTONE,None,Seoul
LSarthall,None,Seoul
Pas de deux Meme,None,Seoul
Pas de deux Meme,None,Seoul
South Town,None,Busan
Sapiens7,Seoul Mapo-gu Seogyo-dong 369-44,Seoul
Salon NOMAD,None,Seoul
Busan Samrak Park,Busan Sasang-gu Samnak-dong,Busan
Samsung Delight,Seoul Seocho-gu Seocho2-dong 1320-10,Seoul
Samsung Life Plaza,None,Seoul
KT&G SangSangArthall,Seoul Gangnam-gu Daechi-dong 1002,Seoul
Art 1839,None,Seoul
Sangam Nurikum Square,Seoul Mapo-gu Sangam-dong 224-3,Seoul
Sad Horse,"",None
Sogang Univ. Garden,Seoul Mapo-gu Sinsu-dong 1-1[Baekbeom-ro 35],Seoul
